customer_id,age,tenure_months,monthly_charges,support_calls,churn
1,56,15,55.16,4,1
2,69,64,30.14,1,0
3,46,28,68.59,8,1
4,32,39,45.68,7,1
5,60,57,48.49,2,0
6,25,17,50.73,7,1
7,38,44,100.3,8,1
8,56,25,73.92,2,0
9,36,17,51.13,2,0
10,40,13,81.03,1,1
11,28,25,91.62,7,1
12,28,68,47.26,9,0
13,41,10,61.35,0,0
14,53,67,32.19,7,1
15,57,18,38.11,6,0
16,41,34,88.11,6,0
17,20,8,38.14,2,0
18,39,40,72.52,0,1
19,19,42,90.9,3,0
20,41,41,30.69,8,1
21,61,6,76.73,4,0
22,47,52,45.66,0,0
23,55,26,116.29,4,0
24,19,64,68.35,7,1
25,38,59,100.6,7,1
26,50,56,75.02,4,0
27,29,59,24.34,8,0
28,39,70,83.32,0,0
29,61,33,115.14,3,1
30,42,53,80.16,2,1
31,66,22,101.92,1,0
32,44,21,108.42,7,1
33,59,70,42.81,6,0
34,45,70,41.2,8,0
35,33,4,81.1,1,0
36,32,62,61.1,3,0
37,64,62,103.99,5,0
38,68,24,110.0,2,0
39,61,55,55.34,7,0
40,69,9,43.69,2,1
41,20,3,98.05,1,1
42,54,31,47.48,2,0
43,68,40,102.26,5,1
44,24,36,62.37,1,1
45,38,24,86.75,7,1
46,26,6,29.55,0,1
47,56,66,82.39,6,1
48,35,4,65.18,1,1
49,21,6,78.66,9,0
50,42,51,36.8,5,0
51,31,62,93.69,1,1
52,67,57,106.28,1,1
53,26,66,41.67,9,0
54,43,8,29.57,7,1
55,19,26,22.36,1,0
56,37,51,84.2,6,0
57,45,45,80.71,2,0
58,64,44,74.67,7,1
59,24,5,43.19,6,0
60,61,70,59.09,7,1
61,25,26,79.45,6,0
62,64,68,69.68,5,0
63,52,19,118.78,6,1
64,31,20,33.64,4,1
65,34,12,89.51,6,1
66,53,47,60.43,0,0
67,67,1,62.82,0,1
68,57,14,91.76,8,1
69,21,64,89.24,4,1
70,19,38,119.13,4,0
71,23,37,32.84,2,0
72,59,11,30.41,4,0
73,21,3,92.43,2,0
74,46,33,77.84,8,1
75,35,6,47.42,8,1
76,43,50,27.94,5,0
77,61,10,28.57,0,0
78,51,5,109.42,6,1
79,27,23,39.19,6,1
80,53,10,52.34,9,1
81,31,44,42.67,9,1
82,48,2,55.5,3,0
83,65,13,26.94,7,1
84,32,40,71.91,5,1
85,25,2,26.76,3,1
86,31,65,100.04,3,0
87,40,63,43.37,1,0
88,57,17,74.0,1,0
89,38,9,108.01,3,0
90,33,15,85.09,4,1
91,62,24,73.3,7,0
92,35,38,52.43,5,0
93,64,35,53.3,3,0
94,41,49,86.95,6,0
95,43,69,119.41,7,1
96,42,62,86.18,1,0
97,62,60,75.78,6,1
98,58,50,93.07,1,1
99,46,9,66.52,1,0
100,32,34,26.01,7,1
101,62,35,76.23,1,0
102,18,1,115.76,8,1
103,42,40,37.53,0,0
104,24,64,89.0,8,0
105,26,22,40.09,0,1
106,41,60,73.58,9,1
107,18,64,29.67,9,1
108,61,11,65.04,1,1
109,25,14,95.62,5,1
110,41,60,54.76,5,1
111,28,30,86.49,0,0
112,68,35,99.54,6,1
113,34,37,112.72,7,1
114,25,5,43.46,1,0
115,52,26,59.93,7,1
116,52,62,35.24,8,1
117,50,4,119.25,5,1
118,22,42,112.7,4,0
119,59,18,74.0,8,1
120,56,40,104.2,8,1
121,58,39,72.1,0,0
122,45,14,82.36,2,0
123,24,32,28.91,8,1
124,26,51,95.53,1,0
125,25,38,32.77,3,0
126,29,23,102.61,3,0
127,51,63,98.2,1,0
128,50,15,90.87,2,0
129,65,25,23.62,2,0
130,40,17,50.31,0,0
131,41,66,46.31,5,0
132,54,53,56.01,7,1
133,52,51,28.76,2,1
134,61,39,113.7,4,1
135,57,51,75.38,0,0
136,39,70,50.55,9,0
137,44,6,59.7,6,1
138,52,67,64.72,9,1
139,18,7,80.06,0,1
140,52,51,71.57,8,0
141,54,42,111.94,7,0
142,64,64,69.7,6,0
143,31,15,119.22,9,1
144,20,29,105.14,6,1
145,18,33,40.85,4,0
146,22,27,113.06,4,1
147,43,36,31.64,4,1
148,31,29,101.74,0,0
149,56,38,58.06,7,0
150,44,57,107.8,0,0
151,26,27,106.81,3,0
152,32,55,100.59,8,1
153,32,33,99.0,8,1
154,43,68,50.47,4,0
155,59,66,28.09,3,0
156,30,10,60.3,2,0
157,68,5,37.35,2,1
158,49,38,89.5,4,1
159,56,13,54.61,9,1
160,66,31,117.56,0,0
161,69,47,84.1,4,1
162,49,52,102.25,5,0
163,21,56,33.25,6,1
164,47,15,106.2,8,1
165,54,29,112.28,2,0
166,40,8,68.71,1,1
167,56,5,80.63,2,1
168,62,29,96.48,8,1
169,32,47,37.48,6,0
170,60,68,70.26,8,0
171,46,45,59.87,1,0
172,53,2,34.64,4,0
173,30,27,56.75,3,0
174,49,36,26.82,1,0
175,24,36,22.58,8,1
176,68,26,33.52,8,1
177,39,43,116.31,5,1
178,45,27,74.95,5,1
